Time,Detail,Message
2025-03-02 18:06:07.139,Game.OnTimedEvent(),OnTimedEvent called, signaling run of action queue and rendering
2025-03-02 18:06:07.149,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.149,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.149,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.149,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.149,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.149,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.150,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.150,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.150,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.150,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.150,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.150,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.150,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.150,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.150,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.150,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.150,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.150,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.151,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.151,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.151,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.151,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.151,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.151,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.151,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.151,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.151,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.151,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.151,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.151,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.152,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.152,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.152,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.152,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.152,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.152,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.152,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.152,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.153,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.153,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.153,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.153,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.153,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.153,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.153,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.153,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.153,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.153,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.154,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.154,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.154,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.154,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.154,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.154,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.154,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.154,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.154,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.154,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.155,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.155,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.155,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.155,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.155,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.155,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.155,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
2025-03-02 18:06:07.155,ActionQueue.ProcessAction(),(Render, System.Action) invoked
2025-03-02 18:06:07.155,ActionQueue.ProcessAction(),Trying to process (Render, System.Action)
